fecha,anomalía,ranking
2004-05-01,82.93,337
2004-04-01,79.97,125
2004-03-01,86.86,543
2004-02-01,80.45,149
2004-01-01,84.16,440
2003-12-01,84.75,477
2003-11-01,80.21,137
2003-10-01,82.13,271
2003-09-01,82.17,278
2003-08-01,84.61,470
2003-07-01,84.1,434
2003-06-01,80.83,175
2003-05-01,83.56,389
2003-04-01,79.67,104
2003-03-01,85.61,513
2003-02-01,76.19,29
2003-01-01,85.59,512
2002-12-01,83.37,377
2002-11-01,80.78,170
2002-10-01,80.49,152
2002-09-01,80.81,173
2002-08-01,84.93,487
2002-07-01,83.8,408
2002-06-01,83.67,398
2002-05-01,83.34,371
2002-04-01,78.41,61
2002-03-01,85.64,516
2002-02-01,75.82,23
2002-01-01,86.0,524
2001-12-01,82.45,308
2001-11-01,81.86,250
2001-10-01,83.38,379
2001-09-01,79.85,118
2001-08-01,83.19,360
2001-07-01,85.49,509
2001-06-01,81.89,252
2001-05-01,83.17,357
2001-04-01,79.19,84
2001-03-01,81.89,252
2001-02-01,72.59,2
2001-01-01,81.1,203
2000-12-01,83.14,356
2000-11-01,80.13,134
2000-10-01,83.08,354
2000-09-01,81.91,256
2000-08-01,84.54,461
2000-07-01,84.13,437
2000-06-01,80.66,162
2000-05-01,83.31,368
2000-04-01,78.47,62
2000-03-01,81.6,230
2000-02-01,74.06,8
2000-01-01,83.37,377
1999-12-01,82.3,291
1999-11-01,80.74,166
1999-10-01,83.47,385
1999-09-01,81.08,201
1999-08-01,83.44,384
1999-07-01,84.61,470
1999-06-01,78.97,78
1999-05-01,81.96,260
1999-04-01,77.75,53
1999-03-01,79.31,90
1999-02-01,75.08,15
1999-01-01,82.47,309
1998-12-01,84.78,481
1998-11-01,79.97,125
1998-10-01,84.98,489
1998-09-01,82.2,280
1998-08-01,87.61,548
1998-07-01,85.34,504
1998-06-01,82.18,279
1998-05-01,83.39,380
1998-04-01,81.45,223
1998-03-01,86.02,526
1998-02-01,76.1,26
1998-01-01,84.74,475
1997-12-01,84.46,458
1997-11-01,79.82,114
1997-10-01,82.64,319
1997-09-01,80.08,132
1997-08-01,86.1,529
1997-07-01,85.09,497
1997-06-01,79.86,119
1997-05-01,83.95,420
1997-04-01,79.78,113
1997-03-01,83.08,354
1997-02-01,74.38,9
1997-01-01,84.67,471
1996-12-01,77.65,51
1996-11-01,80.92,181
1996-10-01,82.93,337
1996-09-01,81.52,226
1996-08-01,83.93,419
1996-07-01,84.7,473
1996-06-01,80.45,149
1996-05-01,81.07,200
1996-04-01,78.94,77
1996-03-01,86.81,542
1996-02-01,78.6,67
1996-01-01,85.23,501
1995-12-01,82.96,341
1995-11-01,81.92,258
1995-10-01,80.53,154
1995-09-01,81.64,234
1995-08-01,84.77,479
1995-07-01,83.24,364
1995-06-01,82.35,300
1995-05-01,81.67,238
1995-04-01,80.37,147
1995-03-01,83.03,349
1995-02-01,72.67,3
1995-01-01,82.35,300
1994-12-01,83.96,422
1994-11-01,78.23,57
1994-10-01,78.6,67
1994-09-01,81.01,189
1994-08-01,82.63,318
1994-07-01,82.96,341
1994-06-01,83.29,366
1994-05-01,81.27,213
1994-04-01,79.82,114
1994-03-01,82.23,285
1994-02-01,72.83,4
1994-01-01,83.6,393
1993-12-01,86.26,534
1993-11-01,82.99,343
1993-10-01,85.94,522
1993-09-01,79.73,109
1993-08-01,83.33,369
1993-07-01,84.3,448
1993-06-01,81.89,252
1993-05-01,81.44,221
1993-04-01,76.65,34
1993-03-01,81.26,212
1993-02-01,75.15,18
1993-01-01,83.24,364
1992-12-01,81.68,239
1992-11-01,80.91,180
1992-10-01,82.35,300
1992-09-01,79.92,121
1992-08-01,81.71,242
1992-07-01,83.38,379
1992-06-01,79.47,95
1992-05-01,80.31,142
1992-04-01,78.52,64
1992-03-01,81.06,196
1992-02-01,79.3,89
1992-01-01,84.39,454
1991-12-01,77.47,46
1991-11-01,78.79,73
1991-10-01,81.66,237
1991-09-01,78.32,59
1991-08-01,84.31,449
1991-07-01,81.62,232
1991-06-01,82.22,283
1991-05-01,81.15,207
1991-04-01,76.09,25
1991-03-01,84.08,432
1991-02-01,74.82,13
1991-01-01,83.03,349
1990-12-01,79.92,121
1990-11-01,81.8,246
1990-10-01,80.6,157
1990-09-01,78.83,74
1990-08-01,83.2,361
1990-07-01,83.85,411
1990-06-01,80.92,181
1990-05-01,82.73,323
1990-04-01,80.65,161
1990-03-01,86.37,536
1990-02-01,76.11,27
1990-01-01,84.08,432
1989-12-01,84.43,456
1989-11-01,82.6,316
1989-10-01,81.64,234
1989-09-01,80.95,186
1989-08-01,83.63,394
1989-07-01,85.12,500
1989-06-01,79.91,120
1989-05-01,79.05,80
1989-04-01,79.55,99
1989-03-01,78.38,60
1989-02-01,74.61,10
1989-01-01,86.16,530
1988-12-01,82.9,334
1988-11-01,80.32,144
1988-10-01,81.9,255
1988-09-01,82.88,332
1988-08-01,86.02,526
1988-07-01,87.59,547
1988-06-01,81.03,193
1988-05-01,84.32,450
1988-04-01,78.87,75
1988-03-01,87.36,546
1988-02-01,78.11,56
1988-01-01,79.08,82
1987-12-01,81.85,249
1987-11-01,82.6,316
1987-10-01,84.77,479
1987-09-01,82.15,273
1987-08-01,84.89,485
1987-07-01,84.07,429
1987-06-01,80.11,133
1987-05-01,80.3,140
1987-04-01,77.63,50
1987-03-01,81.97,262
1987-02-01,75.3,19
1987-01-01,84.39,454
1986-12-01,83.79,407
1986-11-01,80.93,183
1986-10-01,79.07,81
1986-09-01,79.28,87
1986-08-01,83.78,406
1986-07-01,83.02,345
1986-06-01,81.51,225
1986-05-01,80.93,183
1986-04-01,79.49,97
1986-03-01,84.09,433
1986-02-01,71.26,1
1986-01-01,84.39,454
1985-12-01,82.95,339
1985-11-01,82.44,305
1985-10-01,84.17,441
1985-09-01,80.94,185
1985-08-01,86.37,536
1985-07-01,83.5,387
1985-06-01,80.33,145
1985-05-01,81.69,241
1985-04-01,78.0,55
1985-03-01,83.48,386
1985-02-01,77.44,45
1985-01-01,82.99,343
1984-12-01,83.73,402
1984-11-01,81.68,239
1984-10-01,85.64,516
1984-09-01,80.3,140
1984-08-01,85.02,494
1984-07-01,84.56,463
1984-06-01,82.76,327
1984-05-01,82.45,308
1984-04-01,79.48,96
1984-03-01,82.34,296
1984-02-01,79.0,79
1984-01-01,85.02,494
1983-12-01,83.59,392
1983-11-01,81.05,194
1983-10-01,84.49,459
1983-09-01,81.06,196
1983-08-01,85.83,519
1983-07-01,85.31,503
1983-06-01,82.35,300
1983-05-01,82.02,266
1983-04-01,77.87,54
1983-03-01,82.13,271
1983-02-01,74.8,12
1983-01-01,83.76,404
1982-12-01,85.02,494
1982-11-01,81.36,218
1982-10-01,82.12,270
1982-09-01,80.31,142
1982-08-01,86.99,545
1982-07-01,83.31,368
1982-06-01,82.28,289
1982-05-01,82.86,331
1982-04-01,80.76,168
1982-03-01,86.95,544
1982-02-01,74.76,11
1982-01-01,85.0,490
1981-12-01,83.89,414
1981-11-01,82.56,313
1981-10-01,82.74,325
1981-09-01,81.39,219
1981-08-01,84.08,432
1981-07-01,84.18,442
1981-06-01,80.64,160
1981-05-01,80.23,138
1981-04-01,78.65,71
1981-03-01,81.08,201
1981-02-01,75.14,17
1981-01-01,84.13,437
1980-12-01,80.17,136
1980-11-01,78.56,65
1980-10-01,81.86,250
1980-09-01,79.25,85
1980-08-01,83.77,405
1980-07-01,82.22,283
1980-06-01,79.96,124
1980-05-01,81.21,208
1980-04-01,77.5,47
1980-03-01,82.75,326
